FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
583,313251.1776,4104270.168,4,4,1,3,1,3,2,5,4,5,5,1,5,6,16,5,1
980,319780.0227,4101044.894,5,5,3,1,1,3,2,5,5,5,5,1,4,5,16,5,1
615,271328.3569,4094967.741,5,4,2,3,2,1,2,2,4,2,5,2,5,4,16,5,1
646,267624.3649,4106080.829,5,5,3,2,2,4,2,2,5,5,1,3,5,4,16,5,1
1011,340931.4049,4023211.207,4,3,6,2,1,3,2,5,5,1,2,3,1,4,16,5,1
882,228397.9683,4060594.598,4,5,8,3,1,3,2,5,4,4,1,4,4,5,16,5,1
713,260002.2857,4118788.223,3,4,7,3,1,3,2,1,1,5,1,4,5,5,16,5,1
555,273346.148,4104691.482,5,5,8,1,1,4,2,2,5,5,1,4,5,4,16,5,1
803,234740.045,4063882.568,4,4,7,2,1,4,2,5,3,3,2,4,5,4,16,5,1
665,227622.257,4054170.255,5,3,7,3,1,3,2,2,5,4,2,4,4,2,16,5,1
836,264252.8371,4114565.132,2,5,7,3,1,4,4,1,1,5,2,4,5,4,16,5,1
968,297340.9859,4062881.572,4,3,8,2,1,4,2,5,4,5,3,4,1,5,16,5,1
589,271388.634,4106348.305,2,4,4,2,1,4,2,5,1,3,4,4,5,4,16,5,1
948,232844.4244,4058079.01,4,3,1,2,1,3,2,2,1,3,5,4,4,5,16,5,1
759,229685.4249,4065151.48,4,4,3,2,1,5,2,5,1,3,5,4,4,5,16,5,1
719,232629.6531,4067126.308,4,5,4,3,1,4,4,5,4,3,5,4,4,4,16,5,1
817,231141.8225,4058502.544,4,5,8,1,1,3,2,2,1,4,5,4,4,5,16,5,1
609,224766.515,4062099.022,5,5,8,2,1,3,1,2,5,4,5,4,4,5,16,5,1
883,231207.0553,4056618.257,5,5,6,3,1,1,2,2,5,4,5,4,4,5,16,5,1
624,225826.2544,4062589.602,4,5,8,2,1,5,3,2,5,4,5,4,4,5,16,5,1
690,227537.1269,4061671.109,4,5,8,2,1,5,2,5,5,4,5,4,4,5,16,5,1
545,236523.0769,4067715.148,4,5,1,1,4,2,2,5,1,5,5,4,5,4,16,5,1
600,234253.7464,4070624.086,4,4,2,3,4,4,2,2,4,5,5,4,4,4,16,5,1
608,237833.8363,4069958.102,5,5,7,3,1,2,2,2,5,5,5,4,5,4,16,5,1
662,332427.6059,4024542.826,5,4,9,3,1,1,2,5,4,1,5,5,1,5,16,5,1
656,243834.6753,4058885.336,4,5,2,2,1,4,2,1,5,5,5,5,5,4,16,5,1
